## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\social_stim\soc_002-[b3d6a544-86ff-41a2-94fd-602cf00fc08c]\soc_002-eye_data.idf
## Date:	14.03.2016 13:02:50
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4878                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	soc_002                                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1280	1024
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Stimulus
1247304270	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1247337568	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1247370915	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1247404209	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1247437542	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1247470865	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1247504937	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1247537504	SMP	1	437.4	760.52	0	0	Faces_Pure_1_low.avi
1247570869	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1247604205	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1247637545	SMP	1	469.77	796.63	0	0	Faces_Pure_1_low.avi
1247670839	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1247704406	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1247737535	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1247770858	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1247804154	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1247837490	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1247870878	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1247905401	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1247937458	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1247970834	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248004188	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248037502	SMP	1	0	0	510.97	864.68	Faces_Pure_1_low.avi
1248070893	SMP	1	0	0	518.89	851.76	Faces_Pure_1_low.avi
1248104659	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248137466	SMP	1	0	0	506.99	906.47	Faces_Pure_1_low.avi
1248170813	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248204132	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248237464	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248270790	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248305389	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248337413	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248370751	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248404082	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248437455	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248470759	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248504241	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248537405	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248570746	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248604080	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248637408	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248670799	SMP	1	0	0	580.71	720.27	Faces_Pure_1_low.avi
1248705251	SMP	1	0	0	538.5	704.8	Faces_Pure_1_low.avi
1248737376	SMP	1	0	0	579.17	694.12	Faces_Pure_1_low.avi
1248770711	SMP	1	0	0	582.24	676.96	Faces_Pure_1_low.avi
1248804045	SMP	1	0	0	597.77	678.95	Faces_Pure_1_low.avi
1248837400	SMP	1	0	0	584.09	686.34	Faces_Pure_1_low.avi
1248870709	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248904066	SMP	1	0	0	601.16	690.42	Faces_Pure_1_low.avi
1248937390	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1248970706	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1249004034	SMP	1	0	0	594.77	451.16	Faces_Pure_1_low.avi
1249037376	SMP	1	0	0	595.15	549.88	Faces_Pure_1_low.avi
1249070705	SMP	1	0	0	600.64	451.74	Faces_Pure_1_low.avi
1249104153	SMP	1	0	0	602.24	458.94	Faces_Pure_1_low.avi
1249137385	SMP	1	0	0	608.81	576.54	Faces_Pure_1_low.avi
1249170671	SMP	1	0	0	602.5	509.05	Faces_Pure_1_low.avi
1249204003	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1249237340	SMP	1	0	0	597.66	455.91	Faces_Pure_1_low.avi
1249270672	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1249304012	SMP	1	0	0	601.96	518.19	Faces_Pure_1_low.avi
1249337331	SMP	1	0	0	598.71	479.68	Faces_Pure_1_low.avi
1249370662	SMP	1	0	0	609.33	590.81	Faces_Pure_1_low.avi
1249403985	SMP	1	540.02	266.62	0	0	Faces_Pure_1_low.avi
1249437338	SMP	1	536.49	251.37	0	0	Faces_Pure_1_low.avi
1249470672	SMP	1	536.61	238.13	0	0	Faces_Pure_1_low.avi
1249504286	SMP	1	0	0	606.06	505.44	Faces_Pure_1_low.avi
1249537297	SMP	1	551.38	276.29	0	0	Faces_Pure_1_low.avi
1249570628	SMP	1	567.77	294.34	0	0	Faces_Pure_1_low.avi
1249603957	SMP	1	0	0	572.48	554.05	Faces_Pure_1_low.avi
1249637306	SMP	1	532.68	281.52	0	0	Faces_Pure_1_low.avi
1249670633	SMP	1	522.57	277.62	0	0	Faces_Pure_1_low.avi
1249704110	SMP	1	0	0	591.59	529.92	Faces_Pure_1_low.avi
1249737288	SMP	1	0	0	575.84	582.68	Faces_Pure_1_low.avi
1249770622	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1249803952	SMP	1	0	0	544.15	517.87	Faces_Pure_1_low.avi
1249837289	SMP	1	507.91	286.37	0	0	Faces_Pure_1_low.avi
1249870621	SMP	1	0	0	555.6	489.1	Faces_Pure_1_low.avi
1249904080	SMP	1	0	0	549.37	488.07	Faces_Pure_1_low.avi
1249937249	SMP	1	498.71	310.93	0	0	Faces_Pure_1_low.avi
1249970593	SMP	1	508.18	278.86	0	0	Faces_Pure_1_low.avi
1250003923	SMP	1	512.51	294.69	0	0	Faces_Pure_1_low.avi
1250037265	SMP	1	0	0	542.41	498.27	Faces_Pure_1_low.avi
1250070585	SMP	1	507.62	295.46	0	0	Faces_Pure_1_low.avi
1250103925	SMP	1	499.18	314.36	0	0	Faces_Pure_1_low.avi
1250137253	SMP	1	500.94	290.55	0	0	Faces_Pure_1_low.avi
1250170668	SMP	1	498.79	298.46	0	0	Faces_Pure_1_low.avi
1250203911	SMP	1	496.7	293.25	0	0	Faces_Pure_1_low.avi
1250237250	SMP	1	500.38	294.35	0	0	Faces_Pure_1_low.avi
1250270580	SMP	1	0	0	548.23	475.73	Faces_Pure_1_low.avi
1250303927	SMP	1	0	0	536.67	464.2	Faces_Pure_1_low.avi
1250337219	SMP	1	0	0	532.36	473.72	Faces_Pure_1_low.avi
1250370550	SMP	1	497.32	293.99	0	0	Faces_Pure_1_low.avi
1250403876	SMP	1	496.58	290.22	0	0	Faces_Pure_1_low.avi
1250437221	SMP	1	0	0	531.08	440.28	Faces_Pure_1_low.avi
1250470538	SMP	1	498.24	288.16	0	0	Faces_Pure_1_low.avi
1250503945	SMP	1	498.32	295.12	0	0	Faces_Pure_1_low.avi
1250537205	SMP	1	0	0	530.53	468.19	Faces_Pure_1_low.avi
1250570541	SMP	1	498.36	254.12	0	0	Faces_Pure_1_low.avi
1250603871	SMP	1	491.62	284.83	0	0	Faces_Pure_1_low.avi
