trial,Stimulus,Time,type,person,index
1,faces_pure_1_low.avi,0,NA,NA,NA
1,faces_pure_1_low.avi,0.0333,NA,NA,NA
1,faces_pure_1_low.avi,0.0666,NA,NA,NA
1,faces_pure_1_low.avi,0.1,NA,NA,NA
1,faces_pure_1_low.avi,0.1333,NA,NA,NA
1,faces_pure_1_low.avi,0.2,other,NA,NA
1,faces_pure_1_low.avi,0.2333,NA,NA,NA
1,faces_pure_1_low.avi,0.2666,NA,NA,NA
1,faces_pure_1_low.avi,0.3,other,NA,NA
1,faces_pure_1_low.avi,0.3333,NA,NA,NA
1,faces_pure_1_low.avi,0.4,NA,NA,NA
1,faces_pure_1_low.avi,0.4333,NA,NA,NA
1,faces_pure_1_low.avi,0.4666,NA,NA,NA
1,faces_pure_1_low.avi,0.5,NA,NA,NA
1,faces_pure_1_low.avi,0.5333,NA,NA,NA
1,faces_pure_1_low.avi,0.6,NA,NA,NA
1,faces_pure_1_low.avi,0.6333,NA,NA,NA
1,faces_pure_1_low.avi,0.6666,NA,NA,NA
1,faces_pure_1_low.avi,0.7,other,NA,NA
1,faces_pure_1_low.avi,0.7333,other,NA,NA
1,faces_pure_1_low.avi,0.8,other,NA,NA
1,faces_pure_1_low.avi,0.8333,NA,NA,NA
1,faces_pure_1_low.avi,0.8666,NA,NA,NA
1,faces_pure_1_low.avi,0.9,NA,NA,NA
1,faces_pure_1_low.avi,0.9333,NA,NA,NA
1,faces_pure_1_low.avi,1,NA,NA,NA
1,faces_pure_1_low.avi,1.0333,NA,NA,NA
1,faces_pure_1_low.avi,1.0666,NA,NA,NA
1,faces_pure_1_low.avi,1.1,NA,NA,NA
1,faces_pure_1_low.avi,1.1333,NA,NA,NA
1,faces_pure_1_low.avi,1.1666,NA,NA,NA
1,faces_pure_1_low.avi,1.2,NA,NA,NA
1,faces_pure_1_low.avi,1.2333,NA,NA,NA
1,faces_pure_1_low.avi,1.2666,NA,NA,NA
1,faces_pure_1_low.avi,1.3,NA,NA,NA
1,faces_pure_1_low.avi,1.3333,other,NA,NA
1,faces_pure_1_low.avi,1.4,other,NA,NA
1,faces_pure_1_low.avi,1.4333,other,NA,NA
1,faces_pure_1_low.avi,1.4666,other,NA,NA
1,faces_pure_1_low.avi,1.5,other,NA,NA
1,faces_pure_1_low.avi,1.5333,NA,NA,NA
1,faces_pure_1_low.avi,1.5666,other,NA,NA
1,faces_pure_1_low.avi,1.6,NA,NA,NA
1,faces_pure_1_low.avi,1.6333,NA,NA,NA
1,faces_pure_1_low.avi,1.6666,other,NA,NA
1,faces_pure_1_low.avi,1.7,other,NA,NA
1,faces_pure_1_low.avi,1.7333,other,NA,NA
1,faces_pure_1_low.avi,1.7666,other,NA,NA
1,faces_pure_1_low.avi,1.8,other,NA,NA
1,faces_pure_1_low.avi,1.8333,other,NA,NA
1,faces_pure_1_low.avi,1.8666,NA,NA,NA
1,faces_pure_1_low.avi,1.9,other,NA,NA
1,faces_pure_1_low.avi,1.9333,NA,NA,NA
1,faces_pure_1_low.avi,1.9666,other,NA,NA
1,faces_pure_1_low.avi,2,other,NA,NA
1,faces_pure_1_low.avi,2.0333,other,NA,NA
1,faces_pure_1_low.avi,2.0666,other,NA,NA
1,faces_pure_1_low.avi,2.1,other,NA,NA
1,faces_pure_1_low.avi,2.1333,other,NA,NA
1,faces_pure_1_low.avi,2.2,other,NA,NA
1,faces_pure_1_low.avi,2.2333,other,NA,NA
1,faces_pure_1_low.avi,2.2666,other,NA,NA
1,faces_pure_1_low.avi,2.3,face,unknown,1
1,faces_pure_1_low.avi,2.3333,mouth,unknown,1
1,faces_pure_1_low.avi,2.3333,eyes,unknown,1
1,faces_pure_1_low.avi,2.3333,face,unknown,1
1,faces_pure_1_low.avi,2.3666,other,NA,NA
1,faces_pure_1_low.avi,2.4,other,NA,NA
1,faces_pure_1_low.avi,2.4333,NA,NA,NA
1,faces_pure_1_low.avi,2.4666,other,NA,NA
1,faces_pure_1_low.avi,2.5,mouth,unknown,1
1,faces_pure_1_low.avi,2.5,eyes,unknown,1
1,faces_pure_1_low.avi,2.5,face,unknown,1
1,faces_pure_1_low.avi,2.5333,other,NA,NA
1,faces_pure_1_low.avi,2.5666,other,NA,NA
1,faces_pure_1_low.avi,2.6,mouth,unknown,1
1,faces_pure_1_low.avi,2.6,face,unknown,1
1,faces_pure_1_low.avi,2.6333,mouth,unknown,1
1,faces_pure_1_low.avi,2.6333,eyes,unknown,1
1,faces_pure_1_low.avi,2.6333,face,unknown,1
1,faces_pure_1_low.avi,2.6666,mouth,unknown,1
1,faces_pure_1_low.avi,2.6666,eyes,unknown,1
1,faces_pure_1_low.avi,2.6666,face,unknown,1
1,faces_pure_1_low.avi,2.7,other,NA,NA
1,faces_pure_1_low.avi,2.7333,mouth,unknown,1
1,faces_pure_1_low.avi,2.7333,eyes,unknown,1
1,faces_pure_1_low.avi,2.7333,face,unknown,1
1,faces_pure_1_low.avi,2.7666,mouth,unknown,1
1,faces_pure_1_low.avi,2.7666,face,unknown,1
1,faces_pure_1_low.avi,2.8,mouth,unknown,1
1,faces_pure_1_low.avi,2.8,eyes,unknown,1
1,faces_pure_1_low.avi,2.8,face,unknown,1
1,faces_pure_1_low.avi,2.8333,mouth,unknown,1
1,faces_pure_1_low.avi,2.8333,eyes,unknown,1
1,faces_pure_1_low.avi,2.8333,face,unknown,1
1,faces_pure_1_low.avi,2.8666,mouth,unknown,1
1,faces_pure_1_low.avi,2.8666,eyes,unknown,1
1,faces_pure_1_low.avi,2.8666,face,unknown,1
1,faces_pure_1_low.avi,2.9,mouth,unknown,1
1,faces_pure_1_low.avi,2.9,eyes,unknown,1
1,faces_pure_1_low.avi,2.9,face,unknown,1
1,faces_pure_1_low.avi,2.9333,other,NA,NA
1,faces_pure_1_low.avi,2.9666,other,NA,NA
1,faces_pure_1_low.avi,3,other,NA,NA
1,faces_pure_1_low.avi,3.0333,eyes,unknown,1
1,faces_pure_1_low.avi,3.0333,face,unknown,1
1,faces_pure_1_low.avi,3.0666,eyes,unknown,1
1,faces_pure_1_low.avi,3.0666,face,unknown,1
1,faces_pure_1_low.avi,3.1,other,NA,NA
1,faces_pure_1_low.avi,3.1333,eyes,unknown,1
1,faces_pure_1_low.avi,3.1333,face,unknown,1
1,faces_pure_1_low.avi,3.1666,eyes,unknown,1
1,faces_pure_1_low.avi,3.1666,face,unknown,1
1,faces_pure_1_low.avi,3.2,other,NA,NA
1,faces_pure_1_low.avi,3.2333,face,unknown,1
1,faces_pure_1_low.avi,3.2666,face,unknown,1
1,faces_pure_1_low.avi,3.3,face,unknown,1
1,faces_pure_1_low.avi,3.3333,face,unknown,1
1,faces_pure_1_low.avi,3.4,other,NA,NA
1,faces_pure_1_low.avi,3.4333,other,NA,NA
1,faces_pure_1_low.avi,3.4666,other,NA,NA
1,faces_pure_1_low.avi,3.5,other,NA,NA
1,faces_pure_1_low.avi,3.5333,other,NA,NA
1,faces_pure_1_low.avi,3.5666,face,unknown,1
1,faces_pure_1_low.avi,3.6,other,NA,NA
1,faces_pure_1_low.avi,3.6333,other,NA,NA
1,faces_pure_1_low.avi,3.6666,other,NA,NA
1,faces_pure_1_low.avi,3.7,other,NA,NA
1,faces_pure_1_low.avi,3.7333,other,NA,NA
1,faces_pure_1_low.avi,3.7666,other,NA,NA
1,faces_pure_1_low.avi,3.8,other,NA,NA
1,faces_pure_1_low.avi,3.8333,other,NA,NA
1,faces_pure_1_low.avi,3.8666,other,NA,NA
1,faces_pure_1_low.avi,3.9,other,NA,NA
1,faces_pure_1_low.avi,3.9333,other,NA,NA
1,faces_pure_1_low.avi,3.9666,other,NA,NA
1,faces_pure_1_low.avi,4,other,NA,NA
1,faces_pure_1_low.avi,4.0333,other,NA,NA
1,faces_pure_1_low.avi,4.0666,other,NA,NA
1,faces_pure_1_low.avi,4.1,other,NA,NA
1,faces_pure_1_low.avi,4.1333,face,unknown,2
1,faces_pure_1_low.avi,4.2,mouth,unknown,2
1,faces_pure_1_low.avi,4.2,face,unknown,2
1,faces_pure_1_low.avi,4.2333,face,unknown,2
1,faces_pure_1_low.avi,4.2666,other,NA,NA
1,faces_pure_1_low.avi,4.3,face,unknown,2
1,faces_pure_1_low.avi,4.3333,mouth,unknown,2
1,faces_pure_1_low.avi,4.3333,face,unknown,2
1,faces_pure_1_low.avi,4.3666,face,unknown,2
1,faces_pure_1_low.avi,4.4,face,unknown,2
1,faces_pure_1_low.avi,4.4333,mouth,unknown,2
1,faces_pure_1_low.avi,4.4333,face,unknown,2
1,faces_pure_1_low.avi,4.4666,face,unknown,2
1,faces_pure_1_low.avi,4.5,face,unknown,2
1,faces_pure_1_low.avi,4.5333,other,NA,NA
1,faces_pure_1_low.avi,4.5666,face,unknown,2
1,faces_pure_1_low.avi,4.6,face,unknown,2
1,faces_pure_1_low.avi,4.6333,face,unknown,2
1,faces_pure_1_low.avi,4.6666,face,unknown,2
